,pclass,survived,gender,age,sibsp,parch,fare,embarked
490,2,D,female,57.0,0,0,10.5,S
491,2,D,male,29.8811345124283,0,0,15.05,C
492,2,A,male,1.0,0,2,37.0,C
493,2,D,male,31.0,1,1,37.0,C
494,2,A,female,24.0,1,1,37.0,C
495,2,D,male,29.8811345124283,0,0,15.58,C
496,2,D,male,30.0,0,0,13.0,S
497,2,D,male,40.0,0,0,16.0,S
498,2,D,male,32.0,0,0,13.5,S
499,2,D,male,30.0,0,0,13.0,S
500,2,D,male,46.0,0,0,26.0,S
501,2,A,female,13.0,0,1,19.5,S
502,2,A,female,41.0,0,1,19.5,S
503,2,A,male,19.0,0,0,10.5,S
504,2,D,male,39.0,0,0,13.0,S
505,2,D,male,48.0,0,0,13.0,S
506,2,D,male,70.0,0,0,10.5,S
507,2,D,male,27.0,0,0,13.0,S
508,2,D,male,54.0,0,0,14.0,S
509,2,D,male,39.0,0,0,26.0,S
510,2,D,male,16.0,0,0,10.5,S
511,2,D,male,62.0,0,0,9.69,Q
512,2,D,male,32.5,1,0,30.07,C
513,2,A,female,14.0,1,0,30.07,C
514,2,A,male,2.0,1,1,26.0,S
515,2,A,male,3.0,1,1,26.0,S
516,2,D,male,36.5,0,2,26.0,S
517,2,D,male,26.0,0,0,13.0,S
518,2,D,male,19.0,1,1,36.75,S
519,2,D,male,28.0,0,0,13.5,S
520,2,A,male,20.0,0,0,13.86,C
521,2,A,female,29.0,0,0,10.5,S
522,2,D,male,39.0,0,0,13.0,S
523,2,A,male,22.0,0,0,10.5,S
524,2,A,male,29.8811345124283,0,0,13.86,C
525,2,D,male,23.0,0,0,10.5,S
526,2,A,male,29.0,0,0,13.86,C
527,2,D,male,28.0,0,0,10.5,S
528,2,D,male,29.8811345124283,0,0,0.0,S
529,2,A,female,50.0,0,1,26.0,S
530,2,D,male,19.0,0,0,10.5,S
531,2,D,male,29.8811345124283,0,0,15.05,C
532,2,D,male,41.0,0,0,13.0,S
533,2,A,female,21.0,0,1,21.0,S
534,2,A,female,19.0,0,0,26.0,S
535,2,D,male,43.0,0,1,21.0,S
536,2,A,female,32.0,0,0,13.0,S
537,2,D,male,34.0,0,0,13.0,S
538,2,A,male,30.0,0,0,12.74,C
539,2,D,male,27.0,0,0,15.03,C
540,2,A,female,2.0,1,1,26.0,S
541,2,A,female,8.0,1,1,26.0,S
542,2,A,female,33.0,0,2,26.0,S
543,2,D,male,36.0,0,0,10.5,S
544,2,D,male,34.0,1,0,21.0,S
545,2,A,female,30.0,3,0,21.0,S
546,2,A,female,28.0,0,0,13.0,S
547,2,D,male,23.0,0,0,15.05,C
548,2,A,male,0.8333,1,1,18.75,S
549,2,A,male,3.0,1,1,18.75,S
550,2,A,female,24.0,2,3,18.75,S
551,2,A,female,50.0,0,0,10.5,S
552,2,D,male,19.0,0,0,10.5,S
553,2,A,female,21.0,0,0,10.5,S
554,2,D,male,26.0,0,0,13.0,S
555,2,D,male,25.0,0,0,13.0,S
556,2,D,male,27.0,0,0,26.0,S
557,2,A,female,25.0,0,1,26.0,S
558,2,A,female,18.0,0,2,13.0,S
559,2,A,female,20.0,0,0,36.75,S
560,2,A,female,30.0,0,0,13.0,S
561,2,D,male,59.0,0,0,13.5,S
562,2,A,female,30.0,0,0,12.35,Q
563,2,D,male,35.0,0,0,10.5,S
564,2,A,female,40.0,0,0,13.0,S
565,2,D,male,25.0,0,0,13.0,S
566,2,D,male,41.0,0,0,15.05,C
567,2,D,male,25.0,0,0,10.5,S
568,2,D,male,18.5,0,0,13.0,S
569,2,D,male,14.0,0,0,65.0,S
570,2,A,female,50.0,0,0,10.5,S
571,2,D,male,23.0,0,0,13.0,S
572,2,A,female,28.0,0,0,12.65,S
573,2,A,female,27.0,0,0,10.5,S
574,2,D,male,29.0,1,0,21.0,S
575,2,D,female,27.0,1,0,21.0,S
576,2,D,male,40.0,0,0,13.0,S
577,2,A,female,31.0,0,0,21.0,S
578,2,D,male,30.0,1,0,21.0,S
579,2,D,male,23.0,1,0,10.5,S
580,2,A,female,31.0,0,0,21.0,S
581,2,D,male,29.8811345124283,0,0,0.0,S
582,2,A,female,12.0,0,0,15.75,S
583,2,A,female,40.0,0,0,15.75,S
584,2,A,female,32.5,0,0,13.0,S
585,2,D,male,27.0,1,0,26.0,S
586,2,A,female,29.0,1,0,26.0,S
587,2,A,male,2.0,1,1,23.0,S
588,2,A,female,4.0,1,1,23.0,S
589,2,A,female,29.0,0,2,23.0,S
590,2,A,female,0.9167,1,2,27.75,S
591,2,A,female,5.0,1,2,27.75,S
592,2,D,male,36.0,1,2,27.75,S
593,2,A,female,33.0,1,2,27.75,S
594,2,D,male,66.0,0,0,10.5,S
595,2,D,male,29.8811345124283,0,0,12.88,S
596,2,A,male,31.0,0,0,13.0,S
597,2,A,male,29.8811345124283,0,0,13.0,S
598,2,A,female,26.0,0,0,13.5,S
599,2,D,female,24.0,0,0,13.0,S
600,3,D,male,42.0,0,0,7.55,S
601,3,D,male,13.0,0,2,20.25,S
602,3,D,male,16.0,1,1,20.25,S
603,3,A,female,35.0,1,1,20.25,S
604,3,A,female,16.0,0,0,7.65,S
605,3,A,male,25.0,0,0,7.65,S
606,3,A,male,20.0,0,0,7.93,S
607,3,A,female,18.0,0,0,7.23,C
608,3,D,male,30.0,0,0,7.25,S
609,3,D,male,26.0,0,0,8.05,S
610,3,D,female,40.0,1,0,9.48,S
611,3,A,male,0.8333,0,1,9.35,S
612,3,A,female,18.0,0,1,9.35,S
613,3,A,male,26.0,0,0,18.79,C
614,3,D,male,26.0,0,0,7.89,S
615,3,D,male,20.0,0,0,7.93,S
616,3,D,male,24.0,0,0,7.05,S
617,3,D,male,25.0,0,0,7.05,S
618,3,D,male,35.0,0,0,8.05,S
619,3,D,male,18.0,0,0,8.3,S
620,3,D,male,32.0,0,0,22.53,S
621,3,A,female,19.0,1,0,7.85,S
622,3,D,male,4.0,4,2,31.28,S
